timestamp,machine_id,temperature,vibration,pressure,rpm,failure_within_days,coolant_temp,oil_pressure,engine_load,vehicle_speed,gear
2026-01-01 00:00:00,ENG-01,88.06,1.809,45.04,2859.8,25,88.1,45.04,42.1,55.4,3
2026-01-01 01:00:00,ENG-01,87.11,1.932,44.36,2872.8,23,87.1,44.36,44.1,48.9,3
2026-01-01 02:00:00,ENG-01,87.11,1.941,44.32,2873.8,23,87.1,44.32,44.2,48.7,3
2026-01-01 03:00:00,ENG-01,89.43,2.0,45.83,2941.1,21,89.4,45.83,45.1,64.0,4
2026-01-01 04:00:00,ENG-01,90.94,2.21,46.79,3033.3,21,90.9,46.79,48.4,73.8,4
2026-01-01 05:00:00,ENG-01,87.9,1.857,44.72,2862.7,23,87.9,44.72,42.7,53.4,3
2026-01-01 06:00:00,ENG-01,89.01,1.943,45.41,2910.7,22,89.0,45.41,44.0,60.6,3
2026-01-01 07:00:00,ENG-01,87.93,1.87,44.65,2864.2,24,87.9,44.65,42.8,53.2,3
2026-01-01 08:00:00,ENG-01,86.66,2.054,43.77,2887.6,21,86.7,43.77,45.7,44.6,2
2026-01-01 09:00:00,ENG-01,87.05,2.009,43.98,2881.7,22,87.1,43.98,44.9,47.0,3
2026-01-01 10:00:00,ENG-01,86.82,2.049,43.79,2886.8,24,86.8,43.79,45.5,45.2,3
2026-01-01 11:00:00,ENG-01,85.63,2.224,42.95,2908.9,22,85.6,42.95,48.3,37.1,2
2026-01-01 12:00:00,ENG-01,89.96,2.079,45.79,2962.1,24,90.0,45.79,45.9,65.8,4
2026-01-01 13:00:00,ENG-01,89.07,1.956,45.16,2905.2,22,89.1,45.16,43.9,59.6,3
2026-01-01 14:00:00,ENG-01,87.86,1.939,44.31,2872.2,25,87.9,44.31,43.6,51.4,3
2026-01-01 15:00:00,ENG-01,88.06,1.92,44.4,2869.7,24,88.1,44.4,43.2,52.5,3
2026-01-01 16:00:00,ENG-01,89.09,1.96,45.04,2902.5,21,89.1,45.04,43.8,59.2,3
2026-01-01 17:00:00,ENG-01,86.18,2.199,43.06,2905.1,22,86.2,43.06,47.6,39.6,2
2026-01-01 18:00:00,ENG-01,87.01,5.085,43.57,2891.3,24,96.3,43.57,45.8,44.9,2
2026-01-01 19:00:00,ENG-01,91.04,2.233,46.21,3020.1,22,91.0,46.21,48.0,71.6,4
2026-01-01 20:00:00,ENG-01,89.71,2.049,45.28,2935.7,23,89.7,45.28,45.0,62.5,3
2026-01-01 21:00:00,ENG-01,86.21,2.229,42.91,2908.5,21,86.2,42.91,47.9,39.0,2
2026-01-01 22:00:00,ENG-01,89.72,2.052,45.2,2933.9,22,89.7,45.2,45.0,62.2,3
2026-01-01 23:00:00,ENG-01,88.21,1.968,44.16,2874.9,21,88.2,44.16,43.6,52.0,3
2026-01-02 00:00:00,ENG-01,87.9,2.02,43.91,2881.4,23,87.9,43.91,44.4,49.7,3
2026-01-02 01:00:00,ENG-01,90.61,2.177,45.67,2985.2,21,90.6,45.67,46.8,67.6,4
2026-01-02 02:00:00,ENG-01,89.83,3.449,45.11,2935.3,25,104.3,45.11,45.1,62.2,3
2026-01-02 03:00:00,ENG-01,89.87,4.529,45.09,2936.5,25,100.2,45.09,45.1,62.3,3
2026-01-02 04:00:00,ENG-01,92.03,2.376,46.49,3069.8,22,92.0,46.49,49.9,76.5,4
2026-01-02 05:00:00,ENG-01,89.67,2.049,44.87,2921.8,25,89.7,44.87,44.6,60.6,3
2026-01-02 06:00:00,ENG-01,87.05,2.189,43.08,2902.4,22,87.1,43.08,46.8,42.9,2
2026-01-02 07:00:00,ENG-01,89.91,2.084,44.95,2934.1,25,89.9,44.95,45.1,61.8,3
2026-01-02 08:00:00,ENG-01,86.04,2.347,42.33,2922.3,25,86.0,42.33,49.2,35.8,2
2026-01-02 09:00:00,ENG-01,89.39,2.012,44.52,2898.9,21,89.4,44.52,43.8,57.9,3
2026-01-02 10:00:00,ENG-01,92.62,2.462,46.63,3098.7,21,92.6,46.63,51.0,79.3,4
2026-01-02 11:00:00,ENG-01,90.27,2.136,45.02,2951.3,23,90.3,45.02,45.7,63.4,4
2026-01-02 12:00:00,ENG-01,89.8,2.07,44.66,2920.1,22,89.8,44.66,44.6,60.1,3
2026-01-02 13:00:00,ENG-01,89.04,1.974,44.11,2874.0,24,89.0,44.11,43.0,54.8,3
2026-01-02 14:00:00,ENG-01,87.77,2.158,43.22,2897.4,22,87.8,43.22,45.9,46.2,3
2026-01-02 15:00:00,ENG-01,88.96,3.328,43.97,2877.4,23,99.8,43.97,43.4,53.9,3
2026-01-02 16:00:00,ENG-01,91.32,2.285,45.5,3010.0,20,91.3,45.5,47.9,69.5,4
2026-01-02 17:00:00,ENG-01,91.58,2.322,45.63,3024.8,20,91.6,45.63,48.4,71.0,4
2026-01-02 18:00:00,ENG-01,93.0,2.52,46.54,3111.9,21,93.0,46.54,51.5,80.3,4
2026-01-02 19:00:00,ENG-01,86.63,2.359,42.25,2922.6,23,86.6,42.25,48.9,37.6,2
2026-01-02 20:00:00,ENG-01,93.89,4.755,47.05,3164.5,21,102.8,47.05,53.4,85.8,5
2026-01-02 21:00:00,ENG-01,88.81,2.074,43.61,2885.9,21,88.8,43.61,44.3,51.8,3
2026-01-02 22:00:00,ENG-01,89.67,2.059,44.15,2899.2,20,89.7,44.15,44.0,57.3,3
2026-01-02 23:00:00,ENG-01,91.01,2.245,44.99,2981.1,21,91.0,44.99,46.9,66.0,4
2026-01-03 00:00:00,ENG-01,89.97,2.102,44.26,2915.3,22,90.0,44.26,44.6,58.9,3
2026-01-03 01:00:00,ENG-01,90.84,2.224,44.8,2968.2,20,90.8,44.8,46.5,64.6,4
2026-01-03 02:00:00,ENG-01,90.48,2.174,44.52,2944.5,22,90.5,44.52,45.6,62.0,3
2026-01-03 03:00:00,ENG-01,90.93,2.237,44.77,2971.0,23,90.9,44.77,46.6,64.7,4
2026-01-03 04:00:00,ENG-01,89.3,2.066,43.64,2884.1,23,89.3,43.64,43.8,53.7,3
2026-01-03 05:00:00,ENG-01,88.65,2.165,43.17,2896.6,22,88.6,43.17,45.3,49.1,3
2026-01-03 06:00:00,ENG-01,88.57,2.184,43.07,2899.0,24,88.6,43.07,45.6,48.4,3
2026-01-03 07:00:00,ENG-01,88.97,2.137,43.3,2892.8,23,89.0,43.3,44.8,50.9,3
2026-01-03 08:00:00,ENG-01,89.48,2.075,43.59,2884.7,20,89.5,43.59,43.8,54.1,3
2026-01-03 09:00:00,ENG-01,90.68,2.206,44.35,2947.6,21,90.7,44.35,45.8,61.9,3
2026-01-03 10:00:00,ENG-01,88.37,2.247,42.76,2906.5,20,88.4,42.76,46.4,46.3,3
2026-01-03 11:00:00,ENG-01,93.0,2.528,45.81,3088.9,21,93.0,45.81,50.9,77.0,4
2026-01-03 12:00:00,ENG-01,88.26,2.28,42.6,2910.5,20,88.3,42.6,46.8,45.2,3
2026-01-03 13:00:00,ENG-01,90.76,2.219,44.23,2947.4,23,90.8,44.23,45.8,61.7,3
2026-01-03 14:00:00,ENG-01,90.15,2.135,43.78,2907.9,22,90.1,43.78,44.4,57.4,3
2026-01-03 15:00:00,ENG-01,89.52,2.13,43.32,2891.0,21,89.5,43.32,44.3,53.0,3
2026-01-03 16:00:00,ENG-01,90.07,2.125,43.64,2900.3,22,90.1,43.64,44.2,56.5,3
2026-01-03 17:00:00,ENG-01,91.35,2.303,44.45,2978.4,20,91.3,44.45,47.0,64.8,4
2026-01-03 18:00:00,ENG-01,90.47,2.182,43.82,2922.5,23,90.5,43.82,45.0,58.8,3
2026-01-03 19:00:00,ENG-01,89.63,2.148,43.22,2892.8,22,89.6,43.22,44.4,53.0,3
2026-01-03 20:00:00,ENG-01,90.66,2.209,43.86,2931.5,22,90.7,43.86,45.3,59.7,3
2026-01-03 21:00:00,ENG-01,87.6,2.448,41.78,2931.0,23,87.6,41.78,49.1,39.1,2
2026-01-03 22:00:00,ENG-01,88.64,2.312,42.43,2913.4,19,88.6,42.43,46.9,45.8,3
2026-01-03 23:00:00,ENG-01,89.03,2.266,42.65,2907.5,21,89.0,42.65,46.1,48.2,3
2026-01-04 00:00:00,ENG-01,89.04,2.274,42.61,2908.3,20,89.0,42.61,46.2,48.1,3
2026-01-04 01:00:00,ENG-01,92.46,2.463,44.85,3037.4,22,92.5,44.85,49.2,70.7,4
2026-01-04 02:00:00,ENG-01,88.03,2.431,41.85,2928.2,21,88.0,41.85,48.6,41.0,2
2026-01-04 03:00:00,ENG-01,93.38,2.591,45.38,3091.8,23,93.4,45.38,51.1,76.5,4
2026-01-04 04:00:00,ENG-01,91.05,2.268,43.78,2945.4,20,91.1,43.78,45.9,60.7,3
2026-01-04 05:00:00,ENG-01,90.76,2.228,43.55,2925.9,21,90.8,43.55,45.2,58.6,3
2026-01-04 06:00:00,ENG-01,91.09,2.274,43.72,2945.1,20,91.1,43.72,45.9,60.6,3
2026-01-04 07:00:00,ENG-01,90.42,2.182,43.23,2902.3,21,90.4,43.23,44.4,56.0,3
2026-01-04 08:00:00,ENG-01,90.91,2.251,43.52,2931.4,23,90.9,43.52,45.4,59.0,3
2026-01-04 09:00:00,ENG-01,88.64,2.407,41.96,2924.3,19,88.6,41.96,47.9,43.7,2
2026-01-04 10:00:00,ENG-01,89.45,2.302,42.46,2910.8,22,89.5,42.46,46.2,48.9,3
2026-01-04 11:00:00,ENG-01,93.44,2.604,45.08,3084.7,23,93.4,45.08,50.9,75.3,4
2026-01-04 12:00:00,ENG-01,89.49,2.314,42.4,2912.1,23,89.5,42.4,46.3,48.8,3
2026-01-04 13:00:00,ENG-01,90.23,2.221,42.85,2900.0,22,90.2,42.85,44.7,53.5,3
2026-01-04 14:00:00,ENG-01,86.31,2.773,40.19,2970.7,19,86.3,40.19,53.5,27.2,2
2026-01-04 15:00:00,ENG-01,89.25,2.373,42.11,2919.3,22,89.3,42.11,47.1,46.6,3
2026-01-04 16:00:00,ENG-01,87.81,2.582,41.11,2946.0,23,87.8,41.11,50.4,36.8,2
2026-01-04 17:00:00,ENG-01,93.56,2.624,44.9,3084.6,19,93.6,44.9,51.0,75.0,4
2026-01-04 18:00:00,ENG-01,92.56,2.485,44.19,3020.7,22,92.6,44.19,48.7,68.1,4
2026-01-04 19:00:00,ENG-01,90.89,2.255,43.03,2915.7,19,90.9,43.03,45.0,56.8,3
2026-01-04 20:00:00,ENG-01,89.88,2.329,42.32,2913.1,23,89.9,42.32,46.1,49.9,3
2026-01-04 21:00:00,ENG-01,89.13,2.442,41.77,2927.5,19,89.1,41.77,47.9,44.6,2
2026-01-04 22:00:00,ENG-01,91.96,2.405,43.62,2978.4,19,92.0,43.62,47.2,63.4,4
2026-01-04 23:00:00,ENG-01,90.36,2.288,42.51,2907.5,20,90.4,42.51,45.3,52.5,3
2026-01-05 00:00:00,ENG-01,92.54,2.487,43.92,3011.8,22,92.5,43.92,48.5,66.8,4
2026-01-05 01:00:00,ENG-01,92.05,2.419,43.55,2980.0,20,92.1,43.55,47.3,63.4,4
2026-01-05 02:00:00,ENG-01,92.11,2.427,43.55,2982.1,20,92.1,43.55,47.4,63.6,4
2026-01-05 03:00:00,ENG-01,92.18,2.439,43.55,2985.5,23,92.2,43.55,47.6,63.9,4
2026-01-05 04:00:00,ENG-01,92.33,2.459,43.61,2993.2,19,92.3,43.61,47.8,64.6,4
2026-01-05 05:00:00,ENG-01,89.79,2.418,41.88,2923.5,22,89.8,41.88,47.1,47.6,3
2026-01-05 06:00:00,ENG-01,93.21,2.583,44.11,3045.5,19,93.2,44.11,49.7,70.1,4
2026-01-05 07:00:00,ENG-01,93.74,2.658,44.42,3077.4,18,93.7,44.42,50.9,73.5,4
2026-01-05 08:00:00,ENG-01,91.9,2.403,43.15,2961.4,21,91.9,43.15,46.7,61.0,3
2026-01-05 09:00:00,ENG-01,93.22,2.586,43.99,3042.1,20,93.2,43.99,49.6,69.6,4
2026-01-05 10:00:00,ENG-01,88.95,2.578,41.1,2943.3,19,89.0,41.1,49.4,41.0,2
2026-01-05 11:00:00,ENG-01,87.66,2.766,40.19,2967.3,18,87.7,40.19,52.4,32.2,2
2026-01-05 12:00:00,ENG-01,91.59,2.361,42.77,2936.4,18,91.6,42.77,45.9,58.2,3
2026-01-05 13:00:00,ENG-01,91.22,4.477,42.48,2912.4,20,102.4,42.48,45.0,55.5,3
2026-01-05 14:00:00,ENG-01,91.44,2.341,42.59,2924.5,20,91.4,42.59,45.5,56.8,3
2026-01-05 15:00:00,ENG-01,89.29,2.573,41.11,2942.2,22,89.3,41.11,49.1,42.3,2
2026-01-05 16:00:00,ENG-01,93.98,2.695,44.19,3080.0,22,94.0,44.19,51.0,73.3,4
2026-01-05 17:00:00,ENG-01,91.87,2.403,42.75,2947.5,20,91.9,42.75,46.3,59.1,3
2026-01-05 18:00:00,ENG-01,91.79,4.828,42.65,2940.9,22,103.5,42.65,46.1,58.3,3
2026-01-05 19:00:00,ENG-01,90.39,2.455,41.67,2926.6,19,90.4,41.67,47.1,48.8,3
2026-01-05 20:00:00,ENG-01,90.94,4.449,42.0,2917.8,20,103.7,42.0,45.9,52.3,3
2026-01-05 21:00:00,ENG-01,97.89,3.242,46.59,3317.0,18,97.9,46.59,59.6,98.5,5
2026-01-05 22:00:00,ENG-01,92.01,3.878,42.62,2949.5,19,104.8,42.62,46.4,59.1,3
2026-01-05 23:00:00,ENG-01,92.26,2.46,42.75,2963.6,18,92.3,42.75,47.0,60.5,3
2026-01-06 00:00:00,ENG-01,94.4,2.759,44.13,3095.7,21,94.4,44.13,51.7,74.6,4
2026-01-06 01:00:00,ENG-01,96.73,3.083,45.64,3239.3,20,96.7,45.64,56.8,90.0,5
2026-01-06 02:00:00,ENG-01,89.89,2.585,41.04,2942.4,21,89.9,41.04,48.8,44.2,2
