timestamp,machine_id,temperature,vibration,pressure,rpm,failure_within_days,polish_rod_load,tubing_pressure,casing_pressure,pump_fillage,stroke_spm,production_bbl
2026-01-01 00:00:00,WELL-01,61.56,2.174,177.78,417.0,19,14433.0,177.8,93.9,91.3,8.44,47.44
2026-01-01 01:00:00,WELL-01,61.27,2.228,176.24,415.0,21,14394.0,176.2,93.1,90.7,8.41,47.05
2026-01-01 02:00:00,WELL-01,60.29,2.399,171.2,408.3,21,14249.0,171.2,90.6,89.0,8.28,45.77
2026-01-01 03:00:00,WELL-01,62.8,2.24,183.65,424.9,20,14629.0,183.6,96.9,93.1,8.59,48.87
2026-01-01 04:00:00,WELL-01,61.14,2.272,175.21,413.7,20,14382.0,175.2,92.7,90.3,8.38,46.74
2026-01-01 05:00:00,WELL-01,61.3,2.252,175.89,414.6,19,14409.0,175.9,93.1,90.5,8.39,46.9
2026-01-01 06:00:00,WELL-01,63.05,2.288,184.53,426.1,21,14674.0,184.5,97.4,93.4,8.61,49.05
2026-01-01 07:00:00,WELL-01,62.48,2.195,181.57,422.2,19,14592.0,181.6,96.0,92.3,8.53,48.29
2026-01-01 08:00:00,WELL-01,61.24,2.282,175.26,413.8,20,14409.0,175.3,92.8,90.2,8.37,46.7
2026-01-01 09:00:00,WELL-01,61.09,2.313,174.4,412.7,17,14390.0,174.4,92.4,89.9,8.35,46.47
2026-01-01 10:00:00,WELL-01,61.93,2.181,178.45,418.1,19,14518.0,178.5,94.5,91.2,8.45,47.47
2026-01-01 11:00:00,WELL-01,59.99,2.512,168.62,405.0,19,14229.0,168.6,89.6,87.9,8.2,45.0
2026-01-01 12:00:00,WELL-01,62.91,2.277,183.1,424.3,18,14670.0,183.1,96.8,92.7,8.57,48.6
2026-01-01 13:00:00,WELL-01,60.77,2.395,172.28,409.9,17,14352.0,172.3,91.5,89.1,8.29,45.89
2026-01-01 14:00:00,WELL-01,61.58,2.267,176.24,415.2,17,14477.0,176.2,93.5,90.4,8.39,46.86
2026-01-01 15:00:00,WELL-01,60.74,2.413,171.93,409.5,19,14354.0,171.9,91.3,88.9,8.28,45.77
2026-01-01 16:00:00,WELL-01,62.28,2.182,179.52,419.6,20,14588.0,179.5,95.1,91.4,8.47,47.65
2026-01-01 17:00:00,WELL-01,63.55,2.395,185.75,427.9,21,14782.0,185.7,98.3,93.5,8.63,49.19
