timestamp,machine_id,temperature,vibration,pressure,rpm,failure_within_days
2025-01-01T00:00:00,Machine 1,63.13,1.655,97.20,1781.3,29
2025-01-01T01:00:00,Machine 1,63.84,1.683,98.23,1788.2,31
2025-01-01T02:00:00,Machine 1,64.23,1.821,98.80,1791.9,31
2025-01-01T03:00:00,Machine 1,64.30,1.952,98.89,1792.5,31
2025-01-01T04:00:00,Machine 1,63.37,2.289,97.47,1782.9,30
2025-01-01T05:00:00,Machine 1,66.98,1.781,102.86,1818.9,30
2025-01-01T06:00:00,Machine 1,65.36,2.374,100.41,1802.5,30
2025-01-01T07:00:00,Machine 1,66.26,2.149,101.73,1811.3,31
2025-01-01T08:00:00,Machine 1,66.74,2.139,102.43,1815.9,28
2025-01-01T09:00:00,Machine 1,63.96,2.507,98.24,1787.9,30
2025-01-01T10:00:00,Machine 1,66.76,1.875,102.42,1815.7,28
2025-01-01T11:00:00,Machine 1,65.05,1.522,99.84,1798.5,30
2025-01-01T12:00:00,Machine 1,66.89,2.175,102.57,1816.6,31
2025-01-01T13:00:00,Machine 1,66.24,2.242,101.57,1809.9,29
2025-01-01T14:00:00,Machine 1,64.42,1.534,98.83,1791.6,28
2025-01-01T15:00:00,Machine 1,66.17,1.553,101.42,1808.9,30
2025-01-01T16:00:00,Machine 1,64.04,1.633,98.21,1787.4,29
2025-01-01T17:00:00,Machine 1,63.52,2.504,97.41,1782.0,31
2025-01-01T18:00:00,Machine 1,63.66,1.915,97.60,1783.2,30
2025-01-01T19:00:00,Machine 1,65.69,1.947,100.62,1803.3,30
2025-01-01T20:00:00,Machine 1,66.32,1.791,101.55,1809.5,30
2025-01-01T21:00:00,Machine 1,64.19,2.487,98.32,1787.9,30
2025-01-01T22:00:00,Machine 1,63.61,2.374,97.43,1782.0,31
2025-01-01T23:00:00,Machine 1,63.78,2.296,97.67,1783.5,29
2025-01-02T00:00:00,Machine 1,66.52,1.646,101.75,1810.7,31
2025-01-02T01:00:00,Machine 1,63.55,2.492,97.27,1780.8,28
2025-01-02T02:00:00,Machine 1,67.16,1.647,102.68,1816.8,30
2025-01-02T03:00:00,Machine 1,64.70,2.125,98.95,1791.9,28
2025-01-02T04:00:00,Machine 1,65.05,2.391,99.47,1795.3,30
2025-01-02T05:00:00,Machine 1,65.59,2.170,100.24,1800.4,30
2025-01-02T06:00:00,Machine 1,65.21,2.307,99.66,1796.5,30
2025-01-02T07:00:00,Machine 1,65.48,1.570,100.04,1799.0,29
2025-01-02T08:00:00,Machine 1,64.66,2.182,98.78,1790.6,29
2025-01-02T09:00:00,Machine 1,65.31,1.759,99.74,1796.9,29
2025-01-02T10:00:00,Machine 1,64.52,2.026,98.53,1788.8,30
2025-01-02T11:00:00,Machine 1,64.76,1.670,98.87,1791.0,30
2025-01-02T12:00:00,Machine 1,66.84,1.825,101.97,1811.6,29
2025-01-02T13:00:00,Machine 1,63.61,2.113,97.11,1779.2,29
2025-01-02T14:00:00,Machine 1,65.92,2.134,100.55,1802.1,28
2025-01-02T15:00:00,Machine 1,65.99,1.802,100.63,1802.6,31
2025-01-02T16:00:00,Machine 1,66.85,2.256,101.90,1811.0,29
2025-01-02T17:00:00,Machine 1,67.20,2.475,102.40,1814.3,28
2025-01-02T18:00:00,Machine 1,64.87,2.509,98.88,1790.8,30
2025-01-02T19:00:00,Machine 1,63.83,2.319,97.30,1780.2,31
2025-01-02T20:00:00,Machine 1,63.94,2.271,97.44,1781.1,28
2025-01-02T21:00:00,Machine 1,66.18,1.721,100.79,1803.4,28
2025-01-02T22:00:00,Machine 1,63.94,2.317,97.40,1780.8,30
2025-01-02T23:00:00,Machine 1,67.31,1.709,102.43,1814.3,30
2025-01-03T00:00:00,Machine 1,66.67,1.999,101.45,1807.7,30
2025-01-03T01:00:00,Machine 1,63.87,2.566,97.23,1779.5,29
2025-01-03T02:00:00,Machine 1,66.92,2.160,101.79,1809.8,31
2025-01-03T03:00:00,Machine 1,65.53,2.537,99.69,1795.8,30
2025-01-03T04:00:00,Machine 1,65.99,1.688,100.34,1800.1,28
2025-01-03T05:00:00,Machine 1,66.75,2.388,101.46,1807.5,31
2025-01-03T06:00:00,Machine 1,64.98,1.752,98.78,1789.6,28
2025-01-03T07:00:00,Machine 1,63.92,2.032,97.18,1778.9,31
2025-01-03T08:00:00,Machine 1,65.71,1.786,99.83,1796.6,30
2025-01-03T09:00:00,Machine 1,64.62,2.128,98.18,1785.5,28
2025-01-03T10:00:00,Machine 1,65.32,2.071,99.21,1792.3,31
2025-01-03T11:00:00,Machine 1,67.08,2.373,101.82,1809.7,29
2025-01-03T12:00:00,Machine 1,64.65,1.717,98.16,1785.2,27
2025-01-03T13:00:00,Machine 1,67.04,1.618,101.72,1808.9,28
2025-01-03T14:00:00,Machine 1,65.43,2.360,99.30,1792.7,29
2025-01-03T15:00:00,Machine 1,63.88,2.312,96.94,1777.0,29
2025-01-03T16:00:00,Machine 1,67.32,2.004,102.09,1811.2,28
2025-01-03T17:00:00,Machine 1,66.12,1.970,100.26,1799.0,27
2025-01-03T18:00:00,Machine 1,65.65,1.626,99.54,1794.2,29
2025-01-03T19:00:00,Machine 1,64.83,2.529,98.28,1785.7,29
2025-01-03T20:00:00,Machine 1,67.16,2.409,101.75,1808.8,30
2025-01-03T21:00:00,Machine 1,67.59,2.574,102.37,1812.9,29
2025-01-03T22:00:00,Machine 1,64.54,1.642,97.78,1782.3,28
2025-01-03T23:00:00,Machine 1,63.99,1.696,96.94,1776.6,31
2025-01-04T00:00:00,Machine 1,65.32,2.045,98.91,1789.7,27
2025-01-04T01:00:00,Machine 1,65.05,2.101,98.49,1786.9,30
2025-01-04T02:00:00,Machine 1,66.79,2.037,101.07,1804.0,27
2025-01-04T03:00:00,Machine 1,65.89,1.837,99.69,1794.8,29
2025-01-04T04:00:00,Machine 1,66.22,2.076,100.17,1797.9,29
2025-01-04T05:00:00,Machine 1,66.71,1.634,100.89,1802.7,31
2025-01-04T06:00:00,Machine 1,65.61,2.225,99.22,1791.5,29
2025-01-04T07:00:00,Machine 1,65.03,1.886,98.32,1785.5,30
2025-01-04T08:00:00,Machine 1,64.17,2.482,97.01,1776.7,29
2025-01-04T09:00:00,Machine 1,64.12,2.247,96.90,1776.0,30
2025-01-04T10:00:00,Machine 1,66.85,1.707,100.98,1803.1,28
2025-01-04T11:00:00,Machine 1,65.47,1.806,98.89,1789.2,27
2025-01-04T12:00:00,Machine 1,66.29,2.431,100.10,1797.2,28
2025-01-04T13:00:00,Machine 1,67.03,2.273,101.18,1804.4,28
2025-01-04T14:00:00,Machine 1,65.93,1.768,99.52,1793.2,30
2025-01-04T15:00:00,Machine 1,65.85,1.892,99.37,1792.2,29
2025-01-04T16:00:00,Machine 1,67.45,1.657,101.75,1808.0,31
2025-01-04T17:00:00,Machine 1,67.70,1.761,102.10,1810.3,30
2025-01-04T18:00:00,Machine 1,66.34,2.634,100.04,1796.5,27
2025-01-04T19:00:00,Machine 1,64.23,2.157,96.85,1775.2,30
2025-01-04T20:00:00,Machine 1,65.55,2.157,98.81,1788.2,28
2025-01-04T21:00:00,Machine 1,64.63,1.945,97.41,1778.8,30
2025-01-04T22:00:00,Machine 1,66.86,1.915,100.74,1801.0,28
2025-01-04T23:00:00,Machine 1,65.64,2.548,98.88,1788.6,28
2025-01-05T00:00:00,Machine 1,64.77,2.284,97.55,1779.7,27
2025-01-05T01:00:00,Machine 1,67.86,1.748,102.17,1810.4,29
2025-01-05T02:00:00,Machine 1,66.65,2.445,100.33,1798.1,30
2025-01-05T03:00:00,Machine 1,65.73,2.366,98.93,1788.8,30
2025-01-05T04:00:00,Machine 1,64.71,2.164,97.38,1778.4,28
2025-01-05T05:00:00,Machine 1,66.76,2.165,100.43,1798.7,28
2025-01-05T06:00:00,Machine 1,66.45,1.867,99.94,1795.3,27
2025-01-05T07:00:00,Machine 1,65.99,2.019,99.23,1790.6,30
2025-01-05T08:00:00,Machine 1,64.66,2.577,97.21,1777.1,27
2025-01-05T09:00:00,Machine 1,66.39,2.509,99.80,1794.3,28
2025-01-05T10:00:00,Machine 1,65.82,1.697,98.91,1788.3,30
2025-01-05T11:00:00,Machine 1,67.35,1.840,101.18,1803.4,31
2025-01-05T12:00:00,Machine 1,67.20,2.334,100.94,1801.8,29
2025-01-05T13:00:00,Machine 1,64.56,1.759,96.96,1775.2,30
2025-01-05T14:00:00,Machine 1,67.37,1.828,101.14,1803.0,28
2025-01-05T15:00:00,Machine 1,67.50,1.707,101.32,1804.2,31
2025-01-05T16:00:00,Machine 1,66.44,2.229,99.72,1793.4,27
2025-01-05T17:00:00,Machine 1,65.77,2.377,98.68,1786.5,30
2025-01-05T18:00:00,Machine 1,68.13,1.850,102.21,1810.0,30
2025-01-05T19:00:00,Machine 1,66.98,1.807,100.46,1798.3,29
2025-01-05T20:00:00,Machine 1,64.36,1.737,96.50,1771.8,27
2025-01-05T21:00:00,Machine 1,65.79,2.619,98.63,1786.0,28
2025-01-05T22:00:00,Machine 1,65.07,2.438,97.52,1778.5,27
2025-01-05T23:00:00,Machine 1,66.54,2.186,99.71,1793.1,27
2025-01-06T00:00:00,Machine 1,65.07,2.056,97.47,1778.2,29
2025-01-06T01:00:00,Machine 1,67.71,2.416,101.42,1804.4,30
2025-01-06T02:00:00,Machine 1,64.27,1.882,96.24,1769.9,30
2025-01-06T03:00:00,Machine 1,66.13,2.124,99.01,1788.3,29
2025-01-06T04:00:00,Machine 1,66.26,1.884,99.18,1789.3,30
2025-01-06T05:00:00,Machine 1,67.63,2.167,101.22,1802.9,27
2025-01-06T06:00:00,Machine 1,64.52,2.253,96.52,1771.5,29
2025-01-06T07:00:00,Machine 1,64.35,1.827,96.25,1769.7,28
2025-01-06T08:00:00,Machine 1,65.21,1.807,97.52,1778.1,27
2025-01-06T09:00:00,Machine 1,67.24,1.749,100.54,1798.2,30
2025-01-06T10:00:00,Machine 1,65.75,2.428,98.28,1783.1,30
2025-01-06T11:00:00,Machine 1,68.31,2.375,102.10,1808.6,29
2025-01-06T12:00:00,Machine 1,67.01,2.402,100.13,1795.4,29
2025-01-06T13:00:00,Machine 1,66.19,1.954,98.87,1786.9,29
2025-01-06T14:00:00,Machine 1,64.45,2.287,96.25,1769.4,27
2025-01-06T15:00:00,Machine 1,67.33,2.341,100.55,1798.0,30
2025-01-06T16:00:00,Machine 1,68.25,2.210,101.89,1807.0,29
2025-01-06T17:00:00,Machine 1,65.57,2.431,97.86,1780.0,29
2025-01-06T18:00:00,Machine 1,66.59,2.454,99.37,1790.0,29
2025-01-06T19:00:00,Machine 1,66.10,2.234,98.61,1784.9,27
2025-01-06T20:00:00,Machine 1,67.33,1.951,100.44,1797.1,27
2025-01-06T21:00:00,Machine 1,67.73,1.899,101.01,1800.9,30
2025-01-06T22:00:00,Machine 1,67.36,2.662,100.44,1797.0,28
2025-01-06T23:00:00,Machine 1,67.28,2.037,100.29,1796.0,29
2025-01-07T00:00:00,Machine 1,65.00,2.072,96.86,1773.0,28
2025-01-07T01:00:00,Machine 1,66.12,2.265,98.50,1784.0,30
2025-01-07T02:00:00,Machine 1,66.80,2.011,99.51,1790.7,31
2025-01-07T03:00:00,Machine 1,65.55,2.217,97.61,1778.0,30
2025-01-07T04:00:00,Machine 1,67.89,2.318,101.10,1801.2,29
2025-01-07T05:00:00,Machine 1,67.44,2.489,100.40,1796.5,28
2025-01-07T06:00:00,Machine 1,67.02,1.803,99.75,1792.1,28
2025-01-07T07:00:00,Machine 1,66.23,1.768,98.54,1784.0,29
2025-01-07T08:00:00,Machine 1,67.52,1.777,100.46,1796.7,27
2025-01-07T09:00:00,Machine 1,64.78,2.293,96.32,1769.1,29
2025-01-07T10:00:00,Machine 1,66.58,2.557,99.00,1786.9,30
2025-01-07T11:00:00,Machine 1,64.66,2.619,96.10,1767.5,30
2025-01-07T12:00:00,Machine 1,65.75,2.511,97.71,1778.2,27
2025-01-07T13:00:00,Machine 1,67.36,2.484,100.10,1794.1,28
2025-01-07T14:00:00,Machine 1,65.91,1.959,97.91,1779.5,29
2025-01-07T15:00:00,Machine 1,67.21,2.400,99.83,1792.2,28
2025-01-07T16:00:00,Machine 1,68.18,2.012,101.27,1801.8,30
2025-01-07T17:00:00,Machine 1,65.56,2.540,97.31,1775.4,29
2025-01-07T18:00:00,Machine 1,65.20,2.040,96.75,1771.6,27
2025-01-07T19:00:00,Machine 1,67.91,1.777,100.80,1798.6,27
2025-01-07T20:00:00,Machine 1,64.90,2.230,96.27,1768.3,29
2025-01-07T21:00:00,Machine 1,66.62,2.288,98.82,1785.2,30
2025-01-07T22:00:00,Machine 1,68.21,2.537,101.18,1800.9,28
2025-01-07T23:00:00,Machine 1,65.57,2.718,97.20,1774.4,27
2025-01-08T00:00:00,Machine 1,64.79,2.274,96.01,1766.4,27
2025-01-08T01:00:00,Machine 1,68.66,2.753,101.79,1804.9,27
2025-01-08T02:00:00,Machine 1,67.58,2.163,100.15,1793.9,28
2025-01-08T03:00:00,Machine 1,67.13,1.991,99.45,1789.2,29
2025-01-08T04:00:00,Machine 1,67.67,2.469,100.25,1794.5,27
2025-01-08T05:00:00,Machine 1,65.62,1.796,97.15,1773.8,27
2025-01-08T06:00:00,Machine 1,64.91,2.580,96.05,1766.4,27
2025-01-08T07:00:00,Machine 1,66.00,2.132,97.67,1777.2,28
2025-01-08T08:00:00,Machine 1,68.23,2.026,100.99,1799.3,30
2025-01-08T09:00:00,Machine 1,68.40,1.833,101.22,1800.8,29
2025-01-08T10:00:00,Machine 1,68.37,2.250,101.16,1800.3,28
2025-01-08T11:00:00,Machine 1,66.45,2.349,98.26,1780.9,27
2025-01-08T12:00:00,Machine 1,66.30,2.144,98.02,1779.3,29
2025-01-08T13:00:00,Machine 1,68.31,1.984,101.01,1799.2,30
2025-01-08T14:00:00,Machine 1,68.11,2.247,100.68,1797.0,27
2025-01-08T15:00:00,Machine 1,67.61,2.104,99.91,1791.8,28
2025-01-08T16:00:00,Machine 1,67.96,2.480,100.42,1795.1,29
2025-01-08T17:00:00,Machine 1,66.57,2.189,98.31,1781.0,28
2025-01-08T18:00:00,Machine 1,66.69,1.932,98.47,1782.0,30
2025-01-08T19:00:00,Machine 1,65.01,2.788,95.93,1765.1,28
2025-01-08T20:00:00,Machine 1,66.25,1.846,97.77,1777.3,27
2025-01-08T21:00:00,Machine 1,67.22,2.346,99.19,1786.7,28
2025-01-08T22:00:00,Machine 1,68.12,2.086,100.53,1795.6,28
2025-01-08T23:00:00,Machine 1,67.40,2.811,99.43,1788.2,28
2025-01-09T00:00:00,Machine 1,68.20,2.313,100.60,1796.0,27
2025-01-09T01:00:00,Machine 1,67.42,2.071,99.42,1788.1,26
2025-01-09T02:00:00,Machine 1,67.37,1.885,99.30,1787.3,29
2025-01-09T03:00:00,Machine 1,65.49,2.813,96.48,1768.4,28
2025-01-09T04:00:00,Machine 1,65.41,2.637,96.33,1767.4,29
2025-01-09T05:00:00,Machine 1,66.97,2.338,98.65,1782.8,27
2025-01-09T06:00:00,Machine 1,68.48,1.966,100.89,1797.7,28
2025-01-09T07:00:00,Machine 1,66.45,2.743,97.82,1777.2,27
2025-01-09T08:00:00,Machine 1,65.27,2.511,96.03,1765.2,29
2025-01-09T09:00:00,Machine 1,65.46,2.681,96.29,1766.9,29
2025-01-09T10:00:00,Machine 1,65.56,2.476,96.43,1767.8,27
2025-01-09T11:00:00,Machine 1,66.70,2.003,98.11,1778.9,28
2025-01-09T12:00:00,Machine 1,65.78,2.269,96.71,1769.6,29
2025-01-09T13:00:00,Machine 1,69.02,1.886,101.55,1801.8,30
2025-01-09T14:00:00,Machine 1,67.71,2.486,99.56,1788.5,30
2025-01-09T15:00:00,Machine 1,66.57,2.280,97.83,1776.9,28
2025-01-09T16:00:00,Machine 1,68.95,2.322,101.37,1800.5,26
2025-01-09T17:00:00,Machine 1,66.54,2.705,97.75,1776.3,28
2025-01-09T18:00:00,Machine 1,66.43,2.693,97.54,1774.9,29
